pkt_size,ip_len,ttl,ip_proto,frag_offset,is_fragment,src_port,dst_port,udp_len,gtp_teid,gtp_type,gtp_seq,payload_len,payload_entropy,has_gtp,pkt_rate,byte_rate,inter_arrival,label
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.04773402214050293,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0010769367218017578,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.3450620174407959,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.0031080245971679688,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.616257905960083,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.03927803039550781,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.001413106918334961,0
183,169,64,17,0,0,2152,2152,149,0,0,0,73,4.712448237894204,0,0,0,0.0,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.032073020935058594,0
883,869,64,17,0,0,2152,2152,849,0,0,0,773,5.546517045599327,0,0,0,0.19053387641906738,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0015981197357177734,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0005269050598144531,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.04483795166015625,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0014090538024902344,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.212993984287172,0,0,0,0.0705559253692627,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.212993984287172,0,0,0,0.005403041839599609,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.8905470371246338,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.04076409339904785,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0015659332275390625,0
183,169,64,17,0,0,2152,2152,149,0,0,0,73,4.712448237894204,0,0,0,0.0,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.0627739429473877,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.0032300949096679688,0
883,869,64,17,0,0,2152,2152,849,0,0,0,773,5.553021962332306,0,0,0,0.14956402778625488,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0024929046630859375,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.2923150062561035,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0017309188842773438,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.5522232055664062,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.005900859832763672,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.16136813163757324,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.043843984603881836,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0017399787902832031,0
183,169,64,17,0,0,2152,2152,149,0,0,0,73,4.712448237894204,0,0,0,0.0,0
183,169,64,17,0,0,2152,2152,149,0,0,0,73,4.712448237894204,0,0,0,0.2845458984375,0
122,108,64,17,0,0,2152,2152,88,0,0,0,0,0.0,0,0,0,0.04332709312438965,0
883,869,64,17,0,0,2152,2152,849,0,0,0,773,5.572753025820722,0,0,0,0.13805603981018066,0
